2026-09-02 16:48:34,119 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-02 16:48:34,121 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-02 16:48:34,121 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-02 16:48:34,137 | INFO | logic_rules_extractor.pipeline | Detected TSQL dialect (confidence: high)
2026-09-02 16:48:34,137 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.02s (dialect detection)
2026-09-02 16:48:34,137 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /Users/dishajain/Downloads/proc project/TEST PROC/PRO.SMA_MARKING_12122023.StoredProcedure.sql
2026-09-02 16:48:34,375 | INFO | logic_rules_extractor.pipeline | Detected TSQL PROCEDURE 'SMA_MARKING_12122023' with 11 chunk(s)
2026-09-02 16:48:34,375 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.24s (preprocessing/parsing/chunking)
2026-09-02 16:48:34,375 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-02 16:48:34,388 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.01s
2026-09-02 16:48:46,398 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 12.02s total (kb_ready=0.01s, retrieval/KB sum=0.22s, LLM extraction sum=68.69s, workers=8, chunks=11)
2026-09-02 16:48:46,398 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-02 16:49:27,900 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 41.50s (business reasoning)
2026-09-02 16:49:27,902 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-02 16:49:27,981 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.08s (deterministic reconciliation)
2026-09-02 16:49:27,981 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-02 16:49:28,148 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.17s (final report generation)
