2026-09-03 11:08:20,498 | INFO | __main__ | Run started for npa_classification.sql
2026-09-03 11:08:20,500 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 11:08:20,504 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 11:08:20,506 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 11:08:20,508 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: high)
2026-09-03 11:08:20,510 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 11:08:20,511 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /tmp/tmp0l6p61z_.sql
2026-09-03 11:08:20,737 | INFO | logic_rules_extractor.pipeline | Detected ORACLE PROCEDURE 'classify_npa_and_provision' with 3 chunk(s)
2026-09-03 11:08:20,741 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.23s (preprocessing/parsing/chunking)
2026-09-03 11:08:20,744 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 11:08:21,024 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.28s
2026-09-03 11:08:29,927 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 9.18s total (kb_ready=0.28s, retrieval/KB sum=0.11s, LLM extraction sum=23.55s, workers=8, chunks=3)
2026-09-03 11:08:29,929 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 11:08:42,590 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 12.65s (business reasoning)
2026-09-03 11:08:42,593 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 11:08:42,604 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.01s (deterministic reconciliation)
2026-09-03 11:08:42,609 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 11:08:42,624 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.01s (final report generation)
