2026-09-03 09:40:20,531 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 09:40:20,532 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 09:40:20,532 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 09:40:20,542 | INFO | logic_rules_extractor.pipeline | Detected TSQL dialect (confidence: high)
2026-09-03 09:40:20,542 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.01s (dialect detection)
2026-09-03 09:40:20,542 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /Users/dishajain/Downloads/proc project/TEST PROC/PRO.SMA_MARKING_12122023.StoredProcedure.sql
2026-09-03 09:40:20,743 | INFO | logic_rules_extractor.pipeline | Detected TSQL PROCEDURE 'SMA_MARKING_12122023' with 11 chunk(s)
2026-09-03 09:40:20,743 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.20s (preprocessing/parsing/chunking)
2026-09-03 09:40:20,743 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 09:40:20,753 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.01s
2026-09-03 09:40:33,694 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 12.95s total (kb_ready=0.01s, retrieval/KB sum=0.29s, LLM extraction sum=66.16s, workers=8, chunks=11)
2026-09-03 09:40:33,694 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 09:41:30,136 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 56.44s (business reasoning)
2026-09-03 09:41:30,138 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 09:41:30,257 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.12s (deterministic reconciliation)
2026-09-03 09:41:30,257 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 09:41:30,363 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.11s (final report generation)
