2026-09-03 09:05:03,228 | INFO | __main__ | Run started for npa_simple.sql
2026-09-03 09:05:03,229 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 09:05:03,231 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 09:05:03,233 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 09:05:03,234 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: high)
2026-09-03 09:05:03,236 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 09:05:03,237 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /tmp/tmpz2xbjt_9.sql
2026-09-03 09:05:03,464 | INFO | logic_rules_extractor.pipeline | Detected ORACLE PROCEDURE 'classify_npa_and_provision' with 3 chunk(s)
2026-09-03 09:05:03,465 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.23s (preprocessing/parsing/chunking)
2026-09-03 09:05:03,466 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 09:05:03,644 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.18s
2026-09-03 09:05:12,540 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 9.07s total (kb_ready=0.18s, retrieval/KB sum=0.10s, LLM extraction sum=22.49s, workers=8, chunks=3)
2026-09-03 09:05:12,541 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 09:05:21,160 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 8.62s (business reasoning)
2026-09-03 09:05:21,162 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 09:05:21,166 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.00s (deterministic reconciliation)
2026-09-03 09:05:21,167 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 09:05:21,175 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.01s (final report generation)
