2026-09-03 10:07:32,419 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 10:07:32,420 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 10:07:32,420 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 10:07:32,421 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: high)
2026-09-03 10:07:32,421 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 10:07:32,421 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking samples/cursor_overdue_batch.sql
2026-09-03 10:07:32,431 | INFO | logic_rules_extractor.pipeline | Detected ORACLE PLSQL_BLOCK 'ANONYMOUS_BLOCK' with 3 chunk(s)
2026-09-03 10:07:32,431 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.01s (preprocessing/parsing/chunking)
2026-09-03 10:07:32,431 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 10:07:32,435 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.00s
2026-09-03 10:07:38,659 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 6.23s total (kb_ready=0.00s, retrieval/KB sum=0.03s, LLM extraction sum=12.09s, workers=8, chunks=3)
2026-09-03 10:07:38,660 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
