2026-09-03 07:43:52,438 | INFO | __main__ | Run started for npa_simple.sql
2026-09-03 07:43:52,439 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 07:43:52,442 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 07:43:52,443 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 07:43:52,446 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: high)
2026-09-03 07:43:52,451 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.01s (dialect detection)
2026-09-03 07:43:52,452 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /tmp/tmpyt56hrt4.sql
2026-09-03 07:43:52,538 | INFO | logic_rules_extractor.pipeline | Detected ORACLE PROCEDURE 'classify_npa_and_provision' with 3 chunk(s)
2026-09-03 07:43:52,539 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.09s (preprocessing/parsing/chunking)
2026-09-03 07:43:52,540 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 07:43:52,749 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.21s
2026-09-03 07:44:01,459 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 8.92s total (kb_ready=0.21s, retrieval/KB sum=0.14s, LLM extraction sum=23.04s, workers=8, chunks=3)
2026-09-03 07:44:01,461 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 07:44:08,801 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 7.33s (business reasoning)
2026-09-03 07:44:08,803 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 07:44:08,814 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.01s (deterministic reconciliation)
2026-09-03 07:44:08,817 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 07:44:08,842 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.02s (final report generation)
