2026-09-03 09:27:02,264 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 09:27:02,266 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 09:27:02,266 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 09:27:02,279 | INFO | logic_rules_extractor.pipeline | Detected TSQL dialect (confidence: high)
2026-09-03 09:27:02,279 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.01s (dialect detection)
2026-09-03 09:27:02,279 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /Users/dishajain/Downloads/proc project/TEST PROC/PRO.SMA_MARKING_12122023.StoredProcedure.sql
2026-09-03 09:27:02,535 | INFO | logic_rules_extractor.pipeline | Detected TSQL PROCEDURE 'SMA_MARKING_12122023' with 11 chunk(s)
2026-09-03 09:27:02,535 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.26s (preprocessing/parsing/chunking)
2026-09-03 09:27:02,535 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 09:27:02,549 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.01s
2026-09-03 09:27:15,296 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 12.76s total (kb_ready=0.01s, retrieval/KB sum=0.36s, LLM extraction sum=67.23s, workers=8, chunks=11)
2026-09-03 09:27:15,296 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 09:28:06,687 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 51.39s (business reasoning)
2026-09-03 09:28:06,690 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 09:28:06,775 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.08s (deterministic reconciliation)
2026-09-03 09:28:06,775 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 09:28:06,889 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.11s (final report generation)
