2026-09-03 06:24:40,353 | INFO | __main__ | Run started for npa_simple.sql
2026-09-03 06:24:40,354 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 06:24:40,357 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 06:24:40,358 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 06:24:40,360 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: high)
2026-09-03 06:24:40,361 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 06:24:40,363 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /tmp/tmpnlriln4g.sql
2026-09-03 06:24:40,510 | INFO | logic_rules_extractor.pipeline | Detected ORACLE PROCEDURE 'classify_npa_and_provision' with 3 chunk(s)
2026-09-03 06:24:40,511 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.15s (preprocessing/parsing/chunking)
2026-09-03 06:24:40,512 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 06:24:40,680 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.17s
2026-09-03 06:24:48,742 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 8.23s total (kb_ready=0.17s, retrieval/KB sum=0.09s, LLM extraction sum=19.63s, workers=8, chunks=3)
2026-09-03 06:24:48,743 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 06:24:56,335 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 7.59s (business reasoning)
2026-09-03 06:24:56,336 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 06:24:56,339 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.00s (deterministic reconciliation)
2026-09-03 06:24:56,341 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 06:24:56,349 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.01s (final report generation)
