2026-09-03 10:07:21,931 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 10:07:21,932 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 10:07:21,932 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 10:07:21,933 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: high)
2026-09-03 10:07:21,933 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 10:07:21,933 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking samples/batch_overdue_ageing_block.sql
2026-09-03 10:07:21,941 | INFO | logic_rules_extractor.pipeline | Detected ORACLE PLSQL_BLOCK 'ANONYMOUS_BLOCK' with 5 chunk(s)
2026-09-03 10:07:21,941 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.01s (preprocessing/parsing/chunking)
2026-09-03 10:07:21,941 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 10:07:21,955 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.01s
2026-09-03 10:07:26,160 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 4.22s total (kb_ready=0.01s, retrieval/KB sum=0.08s, LLM extraction sum=15.62s, workers=8, chunks=5)
2026-09-03 10:07:26,160 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
