2026-09-03 09:56:15,310 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 09:56:15,311 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 09:56:15,311 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 09:56:15,312 | INFO | logic_rules_extractor.pipeline | Detected ORACLE dialect (confidence: high)
2026-09-03 09:56:15,312 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.00s (dialect detection)
2026-09-03 09:56:15,312 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /Users/dishajain/Desktop/logic_rules_extractor/samples/cursor_overdue_batch.sql
2026-09-03 09:56:15,320 | INFO | logic_rules_extractor.pipeline | Detected ORACLE PLSQL_BLOCK 'ANONYMOUS_BLOCK' with 3 chunk(s)
2026-09-03 09:56:15,320 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.01s (preprocessing/parsing/chunking)
2026-09-03 09:56:15,320 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 09:56:15,337 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.02s
2026-09-03 09:56:19,451 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 4.13s total (kb_ready=0.02s, retrieval/KB sum=0.03s, LLM extraction sum=7.67s, workers=8, chunks=3)
2026-09-03 09:56:19,451 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-09-03 09:56:25,683 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 6.23s (business reasoning)
2026-09-03 09:56:25,683 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Reconciling deterministic evidence against synthesized output
2026-09-03 09:56:25,692 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.01s (deterministic reconciliation)
2026-09-03 09:56:25,692 | INFO | logic_rules_extractor.pipeline | Stage 7/7: Applying output guardrails and formatting final report
2026-09-03 09:56:25,723 | INFO | logic_rules_extractor.pipeline | Stage 7/7 completed in 0.03s (final report generation)
