2026-08-24 15:58:35,062 | INFO | __main__ | Run 4 started for PRO.SMA_MARKING_12122023.StoredProcedure.sql
2026-08-24 15:58:35,062 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-08-24 15:58:35,065 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-08-24 15:58:35,065 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-08-24 15:58:35,093 | INFO | logic_rules_extractor.pipeline | Detected tsql dialect (confidence: high)
2026-08-24 15:58:35,093 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.03s (dialect detection)
2026-08-24 15:58:35,094 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /var/folders/d5/q6cyw5854xz1ksr1wj0fmf5r0000gn/T/tmpti6m35f9.sql
2026-08-24 15:58:35,428 | INFO | logic_rules_extractor.pipeline | Detected tsql PROCEDURE 'SMA_MARKING_12122023' with 12 chunk(s)
2026-08-24 15:58:35,429 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.33s (preprocessing/parsing/chunking)
2026-08-24 15:58:35,429 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: gpt-4.1)
2026-08-24 15:58:35,446 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.02s
2026-08-24 15:58:36,853 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:36,854 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:36,855 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:36,917 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:42,806 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:45,797 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:46,988 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:48,280 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:49,952 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:51,804 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:52,829 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:53,513 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:58:53,525 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 18.09s total (kb_ready=0.02s, retrieval/KB sum=0.14s, LLM extraction sum=66.18s, workers=4, chunks=12)
2026-08-24 15:58:53,525 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
2026-08-24 15:59:37,533 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-24 15:59:37,549 | INFO | logic_rules_extractor.pipeline | Stage 5/6 completed in 44.02s (business reasoning)
2026-08-24 15:59:37,550 | INFO | logic_rules_extractor.pipeline | Stage 6/6: Applying output guardrails and formatting final report
2026-08-24 15:59:37,558 | INFO | logic_rules_extractor.pipeline | Stage 6/6 completed in 0.00s (final report generation)
