2026-09-03 09:37:10,821 | INFO | logic_rules_extractor.pipeline | Stage 1/6: Running input guardrails
2026-09-03 09:37:10,823 | INFO | logic_rules_extractor.pipeline | Stage 1/6 completed in 0.00s (input guardrails)
2026-09-03 09:37:10,823 | INFO | logic_rules_extractor.pipeline | Stage 2/6: Detecting dialect
2026-09-03 09:37:10,833 | INFO | logic_rules_extractor.pipeline | Detected TSQL dialect (confidence: high)
2026-09-03 09:37:10,833 | INFO | logic_rules_extractor.pipeline | Stage 2/6 completed in 0.01s (dialect detection)
2026-09-03 09:37:10,834 | INFO | logic_rules_extractor.pipeline | Stage 3/6: Preprocessing, parsing, and chunking /Users/dishajain/Downloads/proc project/TEST PROC/PRO.SMA_MARKING_12122023.StoredProcedure.sql
2026-09-03 09:37:11,030 | INFO | logic_rules_extractor.pipeline | Detected TSQL PROCEDURE 'SMA_MARKING_12122023' with 11 chunk(s)
2026-09-03 09:37:11,030 | INFO | logic_rules_extractor.pipeline | Stage 3/6 completed in 0.20s (preprocessing/parsing/chunking)
2026-09-03 09:37:11,031 | INFO | logic_rules_extractor.pipeline | Stage 4/6: Retrieving dependencies / pattern context and extracting logic per chunk (model: amazon.nova-lite-v1:0)
2026-09-03 09:37:11,045 | INFO | logic_rules_extractor.pipeline | Persistent knowledge base ready in 0.01s
2026-09-03 09:37:19,028 | INFO | logic_rules_extractor.pipeline | Stage 4/6 completed in 8.00s total (kb_ready=0.01s, retrieval/KB sum=0.23s, LLM extraction sum=45.08s, workers=8, chunks=11)
2026-09-03 09:37:19,029 | INFO | logic_rules_extractor.pipeline | Stage 5/6: Reasoning over the technical extraction into business rules
